题名,摘要,关键词,发表年份,作者,单位,文献来源,中图分类号
基于K-means聚类的老年人养老服务需求识别, 目的/意义精准识别老年人养老服务需求，为调整养老服务供给提供参考。方法/过程利用八爪鱼采集器在网络平台收集养老服务需求相关文本数据1 624条，运用K-means算法进行聚类分析，确定最佳聚类数量；结合词云图分析结果，精准识别各类养老需求。结果/结论养老服务需求分为医疗照护类、生活照料类、预防保健类、精神慰藉类、环境安全类5个方面。政府、社会组织、医疗机构和养老机构等应对现有资源进行分类整合，通过政策引导、专业培训、社会动员等多种途径，协同构建全方位、多层次的养老服务体系，以满足老年人养老需求。,养老服务;;老年人需求;;聚类分析;;K-means算法;,2025/2/25,张馨月;宋泽宇;田晓伟;韩霜;孔杨,滨州医学院卫生管理学院,医学信息学杂志,R197.1;D669.6
我国健康治理研究主题演进与发展趋势, 目的/意义梳理我国健康治理领域的主题演进与研究现状，预测该领域未来发展趋势和研究主题，为深入研究提供参考。方法/过程运用文献计量学方法分析健康治理研究相关文献，可视化呈现发表文献的作者、研究机构和关键词，从持续、重点和预测3个维度，描绘未来健康治理的研究蓝图。结果/结论健康治理主体经历了从单一性向多元性的转变，关注中心由治疗疾病转向人民健康，治理模式从医疗本位转向患者本位。,健康治理;;主题演进;;发展趋势;;CiteSpace;;VOSviwer;,2025/2/25,莫玉芳;李菲;赵云,1.山西医科大学管理学院;2.右江民族医学院公共卫生学院;3.徐州医科大学管理学院,医学信息学杂志,R-05;G353.1
OBE-CDIO理念下医学信息管理人才创新实践能力培养路径构建研究," 目的/意义构建创新实践能力培养路径，解决目前医学信息管理人才创新实践能力培养中存在的培养计划不明晰、效果评价体系不完善等问题。方法/过程基于成果导向教育(outcomes-based education, OBE)理念，立足学生、高校、用人单位3方视角，明确能力培养目标，包括创新目标和技能目标。以两个能力目标为导向，融合CDIO工程教育模式反向设计能力培养主线，构建能力培养路径。结果/结论形成一套完整、规范且可持续改进的创新实践能力培养路径，为医学信息管理人才培养提供支持。",医学信息管理;;创新实践能力;;OBE-CDIO;;医学教育;,2025/2/25,张新颖;杨梦柯;申东东;李萍;向菲,1.华中科技大学同济医学院医药卫生管理学院;2.湖北省卫生技术评估研究中心;3.华中科技大学同济医学院健康医疗大数据科学研究中心,医学信息学杂志,R-4;G642
基于IDEA模型的嵌入式医学信息素养教育实证研究, 目的/意义探索将IDEA教学设计方法应用于医学博士生生命科学进展类专业课程，以全程嵌入信息素养教育。方法/过程基于教学大纲分析和教师访谈，将信息素养教育嵌入课程教学。通过文献综述作业质量分析及师生反馈，评估课程效果。结果/结论接受嵌入式课程的医学博士生在综述作业的课题新颖性、关键词规范程度、参考文献选择及引用规范方面均有显著提升。教师用于课程讲解的时间明显增加，学生综述质量和成绩均有提升。,IDEA模型;;嵌入式医学信息素养教育;;医学研究生;,2025/2/25,唐权;窦骏,1.东南大学图书馆;2.东南大学医学院,医学信息学杂志,G643;R-4;G252.7
引用视角下基于云模型的医学院校图书馆外文电子期刊分级评价, 目的/意义 提出基于期刊被引频次和云模型的外文电子期刊资源分级评价方法，为医学院校图书馆资源建设提供依据。方法/过程 以某机构作者所发表论文中引用每种期刊的总次数表示期刊的相对质量，建立质量表示矩阵，并在此基础上生成单个期刊的质量云。将生成的质量云与标准云进行相似度比较，对期刊的重要性等级进行评价。结果/结论 利用云模型算法及相似度计算方法可得到每种期刊的分级结果及不确定性程度，为医学院校图书馆资源选择和订购提供依据。,被引频次;;医学院校图书馆;;外文电子期刊;;重要性评级;;云模型;;相似度;,2025/1/25,王珂莹;李栎,海军军医大学,医学信息学杂志,G258.6;G255.2
基于用户心理特征的社交媒体平台伪健康信息传播研究, 目的/意义 探索社交媒体平台伪健康信息传播机制，为治理伪健康信息传播乱象提供支持。方法/过程 建立基于用户心理特征的伪健康信息传播模型，运用MATLAB 2018b软件进行仿真分析，探究用户心理特征对伪健康信息传播的影响。结果/结论 用户的心理特征在伪健康信息传播过程中具有重要作用，从众心理和焦虑情绪的加剧会加速伪健康信息的传播，提升信息风险感知水平则有助于抑制伪健康信息的传播。,社交媒体平台;;伪健康信息;;用户心理;;SIRS模型;,2025/1/25,阮智慧;钱爱兵;朱欣叶;叶蕊,1.江苏卫生健康职业学院;2.南京中医药大学卫生经济管理学院;3.苏州大学附属第三医院/常州市第一人民医院教育培训处,医学信息学杂志,G206;R193
人工智能在医疗健康领域的创新应用、风险挑战与治理对策, 目的/意义 为充分发挥人工智能技术优势，释放医疗健康数据价值，促进医疗健康事业和产业高质量发展提供参考依据。方法/过程 分析人工智能在卫生服务、医疗服务、健康管理与药物研发等领域的创新应用，以及人工智能应用于医疗健康领域面临的数据隐私与安全、算法偏差、法律与监管、技术可靠性、伦理等方面的风险挑战。结果/结论 应建立健全数据保护体系、提升技术可靠性与公平性、构建全球协同的多层次监管框架、促进技术发展与人文关怀平衡，以确保医疗领域人工智能创新应用的安全性、有效性和可持续性。,人工智能;;医疗健康;;数字健康;;治理对策;,2025/1/25,李韬;张珺;李亚哲;冯贺霞,1.北京师范大学互联网发展研究院;2.北京师范大学国家数字健康中心;3.北京师范大学新闻传播学院;4.北京理工大学北理鲍曼联合学院;5.北京师范大学中国社会管理研究院,医学信息学杂志,R-05;TP18
生成式人工智能基层医疗应用风险及治理策略分析," 目的/意义 探讨生成式人工智能(generative artificial intelligence, GAI)在提升我国基层医疗服务能力方面的潜力、风险以及治理策略。方法/过程 通过文献综述、现状分析、实证列举等方法，分析GAI在基层医疗领域的应用潜力，从可靠性、医患沟通、语言障碍等方面探讨其应用于基层医疗的挑战。结果/结论 应采取构建高质量GAI数据平台、加强算法规范法治建设、深化医疗风险与伦理监管、鼓励公众参与、促进跨领域合作等策略，以实现GAI对基层医疗服务的有效赋能，提升整体医疗服务水平。",生成式人工智能;;基层医疗应用;;风险;;治理策略;,2025/1/25,史森中;刘相花;聂瑞;张莉;杜振伟,1.中国人民解放军陆军特色医学中心医学工程科;2.中国人民解放军陆军特色医学中心信息科,医学信息学杂志,R-05;TP18
国内糖尿病管理App用户满意度及影响因素研究, 目的/意义 分析糖尿病管理App用户满意度及其影响因素，为优化其实际使用效果提供建议。方法/过程 基于糖尿病管理App用户评论数据，运用隐含狄利克雷分布主题模型获取相关主题，并以双因素理论模型为框架，构建Tobit模型，分析不同主题与用户满意度的相关性，最后利用Wald检验分析各主题对用户满意度影响差异。结果/结论 糖尿病患者最关注App的社交功能、咨询服务以及兼容性，易用性和社交功能作为激励因素影响用户满意度，兼容性和数据追踪作为保健因素对用户满意度产生影响。软件开发者应优先考虑解决保健因素相关问题，并在此基础上逐步改善激励因素相关问题，综合提升用户的持续使用意愿和满意度。,糖尿病管理;;移动医疗;;应用程序;;用户生成内容;;用户满意度;,2025/1/25,安凯;邱浩;雷健波,1.北京大学第三医院;2.北京大学口腔医学院;3.北京大学医学信息学中心,医学信息学杂志,TP311.56;R587.1
面向实践创新能力培养的医学信息工程专业C语言课程实践探索, 目的/意义 结合医学信息工程专业“医工交叉”特色，提出面向实践创新能力培养的课程教学模式，以适应新工科背景下对高素质复合型人才培养的需求。方法/过程 结合目前C语言课程教学存在的问题，调整教学目标，灵活运用并创新教学方法，具体措施包括增加医疗应用案例，充分利用第二课堂，以及发挥学科竞赛促进作用。结果/结论 该教学模式的实施，极大地激发了学生的学习兴趣和主动性，引导学生关注医疗领域信息工程技术应用，开展项目实践和创新活动，教学效果明显提升。,C语言;;新工科;;医学信息工程专业;;实践创新;,2025/1/25,李志芳;林加论;余远波,海南医科大学生物医学信息与工程学院,医学信息学杂志,G642.3;R-4;TP312.1-4
基于主题-情感融合的帕罗西汀治疗孤独症评论数据研究, 目的/意义 挖掘网络用户关于帕罗西汀治疗孤独症的相关评论，揭示患者的关注焦点和情感态度。方法/过程 利用双词主题模型和情感分析方法，分析多个媒体平台关于帕罗西汀治疗孤独症的评论文本，挖掘文本的主题分布和情感倾向。结果/结论 从5个方面分析患者对药物的关注焦点和情感态度，为孤独症患者及相关医务工作者提供有价值的信息，为更好地满足患者需求、改善其生活质量提供参考依据。,双词主题模型;;孤独症;;帕罗西汀;;评论数据;;情感分析;,2025/1/25,吕艳华;崔云龙;王康龙;钟小云;陈家珠,山西医科大学管理学院,医学信息学杂志,R749.94
基于本地大模型的骨质疏松专病数据库构建流程优化研究, 目的/意义 利用本地大模型和知识库优化骨质疏松专病数据库构建流程，降低医疗数据泄漏风险。方法/过程 收集相关临床研究文献和业务数据信息，构建本地知识库；基于本地大模型应用架构，使用本地知识库限定本地大模型的生成内容；基于本地大模型应用架构图形问答界面和编程接口，通过自然语言问询和编程引导本地大模型生成骨质疏松专病数据库字段集。结果/结论 本地大模型结合本地知识库可以总结骨质疏松既往研究中涉及的字段，有效提高骨质疏松专病数据库构建效率和质量，但处理结果需要人工核查。,专病数据库;;大模型;;本地化部署;;自然语言理解;;非结构化数据处理;,2025/1/25,王耀国;唐诗诗;刘泓泽;安雨婷;周毅,1.新疆医科大学公共卫生学院;2.中山大学中山医学院,医学信息学杂志,R580;R-05
面向中医药科研知识服务的用户兴趣模型, 目的/意义 针对中医药科研用户在泛知识环境下精确获取知识的迫切需求，构建用户兴趣模型，助力中医药科研事业创新发展。方法/过程 基于对中医药各领域、各层次科研人员的问卷调研和半结构访谈，提炼用户兴趣模型的主要维度；利用扎根理论深入分析访谈资料，确定核心类别，构建理论框架。结果/结论 面向中医药科研知识服务的用户兴趣模型包括科研用户画像、知识获取等6个核心类别，涵盖中医药科研基本流程和重要环节。该模型旨在强化知识获取与应用能力，提高科研效率，将用于搭建知识服务平台，为中医药科研人员提供精准、智能、个性化的信息资源与知识服务。,中医药;;科研;;用户兴趣模型;;知识服务;;访谈;,2025/1/25,杨凤;毕磊;高博;贾李蓉;种子懿,中国中医科学院中医药信息研究所,医学信息学杂志,R2-03
全国预防接种档案跨省共享方案设计与实现, 目的/意义 通过信息技术手段实现接种档案跨省共享，进一步提升我国免疫规划信息化服务能力。方法/过程 基于全国免疫规划信息系统建设现状，设计接种档案跨省交换业务流程，采用接口方式查询和传输接种信息，并利用数据校验和安全控制等手段，确保数据准确、可靠。结果/结论 通过与试点省份联调测试，验证了业务流程的可行性和系统功能的可用性。接种档案跨省共享流程涉及环节多且对各省份协同性要求高，应不断加强数据标准化和规范化管理，提高数据流转的一致性和及时性，推动全国系统实时联动、“一人一档”闭环管理。,预防接种;;档案管理;;数据共享;,2025/1/25,金丽珠;葛辉;李少琼;杜雪杰;郑环,中国疾病预防控制中心,医学信息学杂志,R186
新年寄语, &lt;正&gt;星霜荏苒，居诸不息。2024年，健康中国建设取得新进展，新技术驱动医学领域科技信息交流新生态加速形成。《医学信息学杂志》在各级领导的带领和支持下，在编委会的指导下，知责思进，守正创新，各项发展措施有序推进，与时代同频共振。值此辞旧迎新之际，我们谨向关心与支持期刊发展的各位编委、审稿专家，向理解与信任编辑工作的各位作者，向厚爱与陪伴期刊成长的读者朋友们，致以节日的问候和衷心的感谢！,,2025/1/25,钱庆,中国医学科学院医学信息研究所/图书馆,医学信息学杂志,+
我国智慧医疗核心政策分析及国际经验启示, 目的/意义 梳理国内与国际智慧医疗领域政策，分析核心要点，促进我国智慧医疗发展。方法/过程 梳理我国智慧医疗核心政策，综述不同阶段智慧医疗发展情况，从政策脉络和政策工具视角详细分析。研究美国、英国智慧医疗领域规划和创新模式，并探讨其经验与启示。结果/结论 我国智慧医疗政策部署具有一定的连贯性，政策工具的使用较为均衡，应加强部门协同、数据构建及保护等方向的政策力度，提高政策的执行及响应效率。,智慧医疗;;国家政策;;国际经验;;医疗健康;,2025/1/25,韩旭;王莉军;郑明;罗妍,1.中国科学技术信息研究所;2.中国医学科学院/北京协和医学院医学信息研究所,医学信息学杂志,R-05
国外电子健康档案首页建设经验及启示, 目的/意义 对比英国、美国、加拿大和澳大利亚等国家电子健康档案首页的发展概况、构成要素与实施现状等，为我国电子健康档案首页建设与发展提供参考。方法/过程 采用网络调查法与文献研究法，对国外电子健康档案首页进行调查、归纳整理，并进行比较分析。结果/结论 我国电子健康档案首页的建设应强化顶层设计，明确发展目标；统一标准，规范建设；保障数据安全；提供便捷的访问和应用方式；加强数据分析和利用。,电子健康档案;;电子健康档案首页;;卫生信息化建设;;健康管理;,2025/1/25,詹倩倩;汤学军;朱岩;马敬东,1.华中科技大学同济医学院医药卫生管理学院;2.国家卫生健康委统计信息中心,医学信息学杂志,R-05
会话分析视角下在线健康社区医患交互模式研究, 目的/意义 探索在线健康社区医患对话特征与规律，以期提高虚拟空间医患交互的效率与效果，进而优化在线健康社区知识服务质量。方法/过程 爬取“好大夫在线”网站医生与用户交互会话数据，采用开放编码与会话分析相结合的方法，剖析在线健康社区医患交互的模式与行为特征。结果/结论 在线健康社区存在传统家长式、简单问答式、互动慰藉式3种医患交互模式，用户对初始症状描述的详细程度、医患间的问答技能差异以及医患间的知识差异是影响在线健康社区医患交互的主要因素。,在线健康社区;;医患交互;;用户沟通;,2025/1/25,吴尚;是沁;秦怡,南京中医药大学卫生经济管理学院,医学信息学杂志,R-05
融合子图结构的医学知识推理方法综述, 目的/意义 综述融合子图结构的医学知识图谱推理方法，为后续相关研究提供参考。方法/过程 阅读并分析相关文献，结合知识图谱及其推理相关知识，分析目前融合子图结构的知识推理代表模型的特点和局限性，对比其与各类知识推理方法在相关领域任务中的优势和不足，总结归纳此类推理方法在医学领域的应用现状和未来发展前景。结果/结论 未来研究应致力于探索医学领域内不同模态信息的交互关系，以丰富推理信息，从而构建更加完善的医学知识图谱，为临床实际问题提供有效解决方案。,知识推理;;子图结构;;图神经网络;;知识图谱;,2025/1/25,宋豪俊;李燕;刘悦悦;何欣宇,甘肃中医药大学医学信息工程学院,医学信息学杂志,R-05
基于微服务+业务中台的医院医保支付系统研究, 目的/意义 实现医保支付服务一体化管理，满足患者多样化医保支付需求，提高支付效率。方法/过程 借助微服务+业务中台架构，创建统一医保支付平台，整合医保数据，重新规划医院医保支付流程。采用虚拟化服务器部署方式，通过标准接口与国家医保信息平台及院内业务系统对接。采取数据加密、访问控制和身份认证等措施保护数据安全。结果/结论 基于微服务+业务中台的医保支付系统实现了医保支付业务的整合与共享，可以提高医院医保支付比例，减少支付等待时间，优化就医体验。,业务中台;;微服务;;医保系统;;医院信息系统;,2025/1/25,孙雷;闫春秒;罗葳;马玉环;周伟,1.邯郸市中心医院;2.中国医学科学院国家人口健康科学数据中心,医学信息学杂志,R197.32
移动社交媒体中疾病类健康信息评价指标体系构建及实证研究, 目的/意义评价移动社交媒体中疾病类健康信息的质量，为此类信息的治理提供依据。方法/过程采用德尔菲法建立移动社交媒体中疾病类健康信息评价指标体系，运用层次分析法确定指标权重，并对微信公众号疾病类健康信息进行实证研究。结果/结论建立移动社交媒体中疾病类健康信息评价指标体系十分必要。本研究建立的评价指标体系具有科学性，可用于文本类和短视频类相关信息的评价。,移动社交媒体;;健康信息;;评价体系;;层次分析法;;实证研究;,2024/12/25 15:27,田瑞,首都医科大学图书馆,医学信息学杂志,R-05;G206;G353.1
基于深度神经网络的老年肺癌发病风险评估研究, 目的/意义利用深度神经网络开展老年肺癌发病风险评估研究，为降低肺癌发病率和有效防控肺癌的发生提供理论依据。方法/过程整合多种相关危险因素，对整合后的数据进行预处理，构建基于深度神经网络的肺癌发病风险评估模型，并运用对比分析法进行模型验证与评价。结果/结论男女高风险组的肺癌发病率均明显高于低风险组，男性高风险组肺癌发病率是女性高风险组肺癌发病率的2.02倍，在男性高风险组进行干预控制对降低肺癌发病率更加显著。本研究不仅有利于老年肺癌的早诊早治，也为提高老年人生活质量提供了基础支撑。,深度神经网络;;老年肺癌;;风险评估;,2024/12/25 15:27,陈松景;吴思竹,中国医学科学院/北京协和医学院医学信息研究所,医学信息学杂志,TP183;R734.2
数智时代医学图书馆助力教学与科研服务的探索与实践, 目的/意义依托人工智能技术，探讨推动医学图书馆数智化服务进程。方法/过程基于智慧图书馆在学科服务领域的应用现状，结合医学专业特点，从数智服务、资源集成化、教学可视化和科研服务自主化4个维度，梳理医学院校智慧图书馆助力教学、科研的创新举措与实践探索。结果/结论综合运用人工智能、智慧管理等技术手段，可提升医学图书馆的运营效率、服务质量、科研服务水平，满足用户多元化需求。,医学图书馆;;学科服务;;智能机器人;;Uibot;,2024/12/25,蒋毅萍;蔚梁震天;黄晓容;夏旭,南方医科大学图书馆,医学信息学杂志,G252;G258.6;G250.7
人工智能生成内容技术在医学信息素养教师专业发展中的应用, 目的/意义探讨医学信息素养教师对于人工智能生成内容的态度和认知，以期为其专业发展、人工智能应用推广以及人才培养提供理论和实践指导。方法/过程选取教授医学信息素养课程的9名任课教师，基于“科技-组织-环境”框架，通过专家访谈和解释现象学质性研究方法，研究其对人工智能生成内容的态度和认知。结果/结论人工智能生成内容技术为医学信息素养教师专业发展提供了新机遇，但也带来了新挑战，提出增强技术接受度和易用性、加强组织支持和资源投入、充分发挥政策和社会因素作用等对策建议。,人工智能生成内容;;医学信息素养;;教师专业发展;;科技-组织-环境框架(TOE模型);,2024/12/25,杨晓雯;丁竞竞;季汉珍,1.南京医科大学图书馆;2.南京医科大学医学教育研究所;3.南通市第三人民医院/南通大学附属南通第三医院,医学信息学杂志,TP18;G252.7;R-4;G645.1
人工智能会话代理在抑郁症诊疗中应用的范围综述, 目的/意义探讨人工智能会话代理在抑郁症诊疗中的应用现状与发展特点，并对未来人工智能会话代理的设计和应用提供实用性建议。方法/过程采用范围综述方法，总结人工智能会话代理应用于抑郁症筛查与治疗的基本特征、功能特点等。结果/结论会话代理在抑郁症诊疗方面应用前景广阔，但目前仍处于开发阶段，存在筛查和治疗功能验证不严谨、差异探究不深入，以及评价机制不统一、不全面等问题。未来的人工智能会话代理应具备强大情绪监测能力、准确治疗方案决策能力，并能与患者建立良好治疗关系。,会话代理;;聊天机器人;;人工智能;;抑郁症;,2024/12/25,罗强强;黄佳慧;李敏;马茹;姜青菡,中国医学科学院北京协和医学院护理学院,医学信息学杂志,R749.4;TP18
基于人工智能的儿童抗菌药物超适应证评估系统设计与应用, 目的/意义建立抗菌药物超适应证评估系统，提升儿童抗菌药物管理水平。方法/过程基于自然语言处理技术，对电子病历等非结构化数据进行后结构化处理；基于深度学习算法模型和用药规则知识库，分析患儿用药特征数据，构建抗菌药物超适应证评估模型；设计并实现评估系统，为医生提供较准确的处方智能审核提示。结果/结论该系统对37 372例患儿进行用药评估，为临床医生提供了有效的用药决策参考，满足了医院对儿童抗菌药物超适应证管理的需求。,抗菌药物管理;;超适应证用药;;人工智能;;临床辅助决策系统;,2024/12/25,陆昕玥;朱珠;赵永根;朱正怡;陈凌栋,1.浙江大学医学院附属儿童医院数据信息部;2.浙江-芬兰儿童健康人工智能联合实验室;3.国家儿童健康与疾病临床医学研究中心儿童健康医工信交叉研究中心;4.浙江大学医学院附属儿童医院药剂科,医学信息学杂志,R978;TP18
居家护理场景下用户护理需求命名实体识别研究," 目的/意义探讨应用深度学习模型在居家护理场景识别用户需求文本中的护理需求实体，以期通过自动化手段精准识别用户需求，为提升居家护理服务的效率和质量提供技术支持。方法/过程选取560条用户护理需求文本客观数据，基于《国际功能、残疾和健康分类》对文本中的护理需求实体进行分类标注，采用BERT-BiLSTM-CRF模型进行实体识别，通过消融实验验证模型效果，分析实验结果，评估模型性能。结果/结论 BERT-BiLSTM-CRF模型实体级别微平均准确率、召回率、F1值分别为0.752 9、0.775 8、0.764 2,表明该模型可以为居家护理场景下自动化挖掘用户需求、优化护理服务流程和提高护理质量提供有力支持。",居家护理;;命名实体识别;;自然语言处理;;护理需求;,2024/12/25,张卓越;杨天赋;左美云,1.中国人民大学信息学院;2.华南师范大学阿伯丁人工智能与数据科学学院,医学信息学杂志,R473.2;TP391.1;TP18
